song_name,song_popularity,song_duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,audio_mode,speechiness,tempo,time_signature,audio_valence
Boulevard of Broken Dreams,73.0,262333.0,0.0,0.5,0.7,0.0,8.0,0.1,-4.1,1.0,0.0,167.1,4.0,0.5
In The End,66.0,216933.0,0.0,0.5,0.9,0.0,3.0,0.1,-6.4,0.0,0.0,105.3,4.0,0.4
Seven Nation Army,76.0,231733.0,0.0,0.7,0.5,0.4,0.0,0.3,-7.8,1.0,0.1,123.9,4.0,0.3
By The Way,74.0,216933.0,0.0,0.5,1.0,0.0,0.0,0.1,-4.9,1.0,0.1,122.4,4.0,0.2
How You Remind Me,56.0,223826.0,0.0,0.4,0.8,0.0,10.0,0.1,-5.1,1.0,0.0,172.0,4.0,0.6
Bring Me To Life,80.0,235893.0,0.0,0.3,0.9,0.0,4.0,0.4,-3.2,0.0,0.1,189.9,4.0,0.3
Last Resort,81.0,199893.0,0.0,0.6,0.9,0.0,4.0,0.3,-3.7,0.0,0.1,90.6,4.0,0.7
Are You Gonna Be My Girl,76.0,213800.0,0.0,0.6,1.0,0.0,2.0,0.2,-3.4,1.0,0.1,105.0,4.0,0.5
Mr. Brightside,80.0,222586.0,0.0,0.3,0.9,0.0,1.0,0.1,-3.7,1.0,0.1,148.1,4.0,0.2
Sex on Fire,81.0,203346.0,0.0,0.5,0.9,0.0,9.0,0.1,-5.7,1.0,0.1,153.4,4.0,0.4
The Middle,78.0,168253.0,0.0,0.6,0.9,0.0,2.0,0.3,-3.4,1.0,0.0,161.9,4.0,0.9
Numb,63.0,185586.0,0.0,0.5,0.9,0.0,9.0,0.6,-4.2,1.0,0.0,110.0,4.0,0.2
Smooth Criminal,75.0,209266.0,0.0,0.6,1.0,0.0,9.0,0.2,-4.2,0.0,0.1,126.9,4.0,0.9
Can't Stop,81.0,269000.0,0.0,0.6,0.9,0.0,9.0,0.2,-3.4,1.0,0.0,91.5,4.0,0.9
Chop Suey!,69.0,210240.0,0.0,0.4,0.9,0.0,7.0,0.1,-3.9,0.0,0.1,127.2,4.0,0.3
Take Me Out,77.0,237026.0,0.0,0.3,0.7,0.0,9.0,0.1,-8.8,1.0,0.0,104.5,4.0,0.5
I Miss You,71.0,227240.0,0.0,0.7,0.8,0.0,11.0,0.1,-6.4,1.0,0.0,110.0,4.0,0.6
